Zone,Colony,Price,Publication Date,Bedrooms,Bathrooms,Construction Size,Land Size,Floors,Phone,URL,Value per m²,Difference from AMC,Days Published,Recency Factor,Likelihood Factor,Likelihood of Sale,Normalized Days Published,Likelihood of Being Sold
VALLE,LOMAS DEL VALLE,30000000,2024-09-11,3,25,546,1031,1,811-801-4069,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32045881&Plaza=2&colonia-inmueble=LOMAS%20DEL%20VALLE&Imagenes=14&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,19023.462270133165,4876.471908863445,2,0.3333333333333333,0.7850620544173571,0.26168735147245237,0.02,0.7800436974054124
VALLE,VALLE,15500000,2024-09-10,3,2,289,450,1,8118-01-4069,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32045238&Plaza=2&colonia-inmueble=VALLE&Imagenes=28&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,20974.289580514207,2925.644598482402,3,0.25,0.8710477469664487,0.21776193674161218,0.03,0.8512601223386687
VALLE,LOMAS DEL VALLE,13900000,2024-09-06,3,35,339,240,2,81-1329-2204,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32043794&Plaza=2&colonia-inmueble=LOMAS%20DEL%20VALLE&Imagenes=4&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,24006.908462867013,106.97428387040418,7,0.125,0.9952849450924781,0.12441061813655976,0.07,0.9258373908792222
VALLE,COLINAS DE SAN ANGEL,28900000,2024-09-11,3,3,677,592,4,81-1212-7654,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32046146&Plaza=2&colonia-inmueble=COLINAS%20DE%20SAN%20ANGEL&Imagenes=44&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,22773.83766745469,1126.0965115419203,2,0.3333333333333333,0.9503655767443939,0.31678852558146464,0.02,0.9338252041597291
VALLE,COLONIAL DE LA SIERRA,29520000,2024-08-16,3,55,900,500,4,,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32030336&Plaza=2&colonia-inmueble=COLONIAL%20DE%20LA%20SIERRA&Imagenes=26&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,21085.714285714286,2814.219893282323,28,0.034482758620689655,0.8759589609897114,0.030205481413438325,0.28,0.6352199203567706
VALLE,LOMAS DEL CAMPESTRE,14500000,2024-08-02,3,25,230,160,2,811-511-77-40,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32020962&Plaza=2&colonia-inmueble=LOMAS%20DEL%20CAMPESTRE&Imagenes=40&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,37179.48717948718,13279.55300049057,42,0.023255813953488372,0.41468342409738,0.009643800560404186,0.42,0.25773380953269687
VALLE,VALLE DE CHIPINQUE,15900000,2024-08-13,3,35,260,369,1,818-254-1447,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32027072&Plaza=2&colonia-inmueble=VALLE%20DE%20CHIPINQUE&Imagenes=0&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,25278.219395866454,1378.2852168698446,31,0.03125,0.9392499744738656,0.0293515617023083,0.31,0.6502083925203462
VALLE,CENTRO DE SAN PEDRO,14800000,2024-08-24,3,35,380,293,2,81-1662-6062,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32035072&Plaza=2&colonia-inmueble=CENTRO%20DE%20SAN%20PEDRO&Imagenes=7&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,21991.084695393758,1908.8494836028513,20,0.047619047619047616,0.9158645442648083,0.04361259734594325,0.2,0.7361052806486686
VALLE,JERONIMO SILLER,47900000,2024-09-06,3,4,715,515,2,81-1022-7139,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32043873&Plaza=2&colonia-inmueble=JERONIMO%20SILLER&Imagenes=12&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,38943.08943089431,15043.1552518977,7,0.125,0.33694996190858195,0.042118745238572744,0.07,0.34463711659258595
VALLE,FUENTES DEL VALLE Ce...,14500000,2024-09-06,4,55,429,370,2,81-8709-4211,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32043923&Plaza=2&colonia-inmueble=FUENTES%20DEL%20VALLE%20Centrito&Imagenes=13&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,18147.684605757197,5752.249573239413,7,0.125,0.7464608165785835,0.09330760207232294,0.07,0.7061670779907877
VALLE,RENACIMIENTO,38000000,2024-08-28,3,45,1050,1250,3,81-1065-9668,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32036406&Plaza=2&colonia-inmueble=RENACIMIENTO&Imagenes=22&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,16521.739130434784,7378.195048561825,16,0.058823529411764705,0.6747947869927295,0.039693810999572324,0.16,0.5806819703194626
VALLE,SAN PATRICIO,46000000,2024-08-25,3,55,830,760,3,81-1066-3137,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32035684&Plaza=2&colonia-inmueble=SAN%20PATRICIO&Imagenes=16&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,28930.81761006289,5030.883431066282,19,0.05,0.7782561307953544,0.038912806539767725,0.19,0.6394967865332101
VALLE,COLINAS DE SAN ANGEL...,3000000,2024-09-11,5,6,640,1214,3,81-1212-7654,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32046148&Plaza=2&colonia-inmueble=COLINAS%20DE%20SAN%20ANGEL%20SECTOR%20BOSQUES&Imagenes=20&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,1618.1229773462783,22281.81120165033,2,0.3333333333333333,0.017895147752577056,0.0059650492508590185,0.02,0.06634999518923061
VALLE,VALLE DE SAN ANGEL,22450000,2024-08-17,3,45,385,232,4,81-2093-2439,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32030969&Plaza=2&colonia-inmueble=VALLE%20DE%20SAN%20ANGEL&Imagenes=7&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,36385.737439222044,12485.803260225435,27,0.03571428571428571,0.44966915592724055,0.01605961271168716,0.27,0.3486334107993252
VALLE,COLONIAL SAN AGUSTIN,15800000,2024-08-24,3,35,390,264,2,81-1212-4474,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32035513&Plaza=2&colonia-inmueble=COLONIAL%20SAN%20AGUSTIN&Imagenes=7&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,24159.02140672783,259.0872277312192,20,0.047619047619047616,0.9885803348207476,0.04707525403908321,0.2,0.7913276002924258
VALLE,JARDINES DE SAN AGUSTIN,26850000,2024-09-03,3,55,550,320,3,81-2858-1294,https://www.avisosdeocasion.com/Detalle-Inmuebles.aspx?PlazaBusqueda=2&ClaveAviso=32040236&Plaza=2&colonia-inmueble=JARDINES%20DE%20SAN%20AGUSTIN&Imagenes=13&idinmueble=3&Grupo=1&Zonas=17&Colonia=0&Recamaras=0&Banios=0&ConInicial=-1&ConFinal=-1&PrecioInicial=-1&PrecioFinal=-1&ChbFoto=0&ChbVideo=0&plantas=0&TerrenoInicial=-1&TerrenoFinal=-1&chkDesc=1&OrderTmp=1&ChbAmueblado=0&Mosaico=0,30862.068965517243,6962.1347865206335,10,0.09090909090909091,0.6931332783514448,0.0630121162137677,0.1,0.6378268383109149
